Dance,Figure Name,Level,Step,Lead Feet Positions,Lead Alignment,Lead Amount of Turn,Lead Rise and Fall,Lead Footwork,Lead CBM,Lead Sway,Follow Feet Positions,Follow Alignment,Follow Amount of Turn,Follow Rise and Fall,Follow Footwork,Follow CBM,Follow Sway,General Notes
Quickstep,Quarter Turn to R,Pre-Bronze,1,RF fwd,Facing DW,Com to turn R 1/8 between 1-2,Com to rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R 1/4 between 1-2 Body turns less,Com to rise e/o 1 NFR,TH,true,S,Note. If commenced facing LOD turn 1/4 between 1-2 and 1/8 between 2-3.
Quickstep,Quarter Turn to R,Pre-Bronze,2,LF to side,Backing centre,1/8 between 2-3,Cont to rise on 2 and 3,T,false,R,RF to side,Pointing DC,Nil,Cont to rise on 2 and 3,T,false,L,
Quickstep,Quarter Turn to R,Pre-Bronze,3,RF closes to LF,Backing DC,Nil,Up. Lower e/o 4,T,false,R,LF closes to RF,Facing DC,Slight body turn,Nil,T,false,L,
Quickstep,Quarter Turn to R,Pre-Bronze,4,LF to side and slightly back,Backing DC,Nil,,TH,false,S,RF diag fwd,Facing DC,Nil,Up. Lower e/o 4,TH,false,S,
Quickstep,Natural Turn,Pre-Bronze,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R 3/8 between 1-2 Body turns less,Rise e/o 1 NFR,TH,true,S,Note. The Heel Pull may be underturned to end facing new LOD.
Quickstep,Natural Turn,Pre-Bronze,2,LF to side,Backing DC,1/8 between 2-3,Up,T,false,R,RF to side,Pointing to LOD,Body completes turn,Up,T,false,L,
Quickstep,Natural Turn,Pre-Bronze,3,RF closes to LF,Backing LOD,Nil,Up. Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Nil,Up. Lower e/o 3,TH,false,L,
Quickstep,Natural Turn,Pre-Bronze,4,LF back,Backing LOD,Com to turn R 3/8 between 4-5,,TH,true,S,RF fwd,Facing LOD,Com to turn R 1/4 between 4-5,,HT,true,S,
Quickstep,Natural Turn,Pre-Bronze,5,RF to side small step (Heel Pull),Facing DW of new LOD,,,H IE whole foot,false,S,LF to side,Backing new LOD,,,TH,false,S,
Quickstep,Natural Turn,Pre-Bronze,6,LF fwd,Facing DW,,,H,true,S,RF back,Backing DW,1/8 between 5-6,,T,true,S,
Quickstep,Natural Pivot Turn,Pre-Bronze,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R 3/8 between 1-2 Body turns less,Rise e/o 1 NFR,TH,true,S,Note. 1/2 is the maximum turn on a pivot. Footwork: Although step 4 is THT the Heel is in contact with the floor.
Quickstep,Natural Pivot Turn,Pre-Bronze,2,LF to side,Backing DC,1/8 between 2-3,Up,T,false,R,RF to side,Pointing to LOD,Body completes turn,Up,T,false,L,
Quickstep,Natural Pivot Turn,Pre-Bronze,3,RF closes to LF,Backing LOD,Nil,Up. Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Nil,Up. Lower e/o 3,TH,false,L,
Quickstep,Natural Pivot Turn,Pre-Bronze,4,LF back (RF held in CBMP),Down LOD toe turned in,Up to 1/2 to R on 4 (Pivot),,THT,true,S,RF fwd,Facing LOD,Up to 1/2 to R on 4 (Pivoting action),,HTH,true,S,
Quickstep,Progressive Chasse,Pre-Bronze,1,RF back,Backing DC,Com to turn L 1/4 between 1-2,Com to rise e/o 1 NFR,TH,true,Nil,LF fwd,Facing DC,Com to turn L 1/8 between 1-2,Com to rise e/o 1,HT,true,Nil,Note. If commenced backing LOD turns between 1-2 (Body turns less).
Quickstep,Progressive Chasse,Pre-Bronze,2,LF to side,Pointing DW,Body turns less,Cont to rise on 2 and 3,T,false,Nil,RF to side,Backing wall,1/8 between 2-3 Body turns less,Cont to rise on 2 and 3,T,false,Nil,
Quickstep,Progressive Chasse,Pre-Bronze,3,RF closes to LF,Facing DW,Slight body turn,Up. Lower e/o 4,T,false,Nil,LF closes to RF,Backing DW,Nil,Up. Lower e/o 4,T,false,Nil,
Quickstep,Progressive Chasse,Pre-Bronze,4,LF to side and slightly fwd,Facing DW,Nil,,TH,false,Nil,RF to side and slightly back,Backing DW,Nil,,TH,false,Nil,
Quickstep,Progressive Chasse,Pre-Bronze,5,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,LF back in CBMP,Backing DW,Nil,,T,true,Nil,
Quickstep,Chasse Reverse Turn,Pre-Bronze,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,L,RF back,Backing DC,Com to turn L 3/8 between 1-2 Body turns less,Rise e/o 1 NFR,TH,true,R,
Quickstep,Chasse Reverse Turn,Pre-Bronze,2,RF to side,Backing DW,1/8 between 2-3,Up,T,false,L,LF to side,Pointing to LOD,Body completes turn,Up,T,false,R,
